id,Start Date,End Date,Book,Page,Deed TIFF,Discriminated Group,Lot #,Address,House Image
60,11/2/1915,1/1/1935,925,173-174,"D99B, D99G","Colored People, Polish, Italian ",45,"15 BELLECLAIRE AVE, LONGMEADOW, MA ",https://images.vgsi.com/photos2/LongmeadowMAPhotos//00/00/22/00.jpg
61,12/3/1915,1/1/1935,944,365,DAA6,"Colored People, Polish, Italian ",38,"65 BELLECLAIRE AV, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/00/21/91.jpg
62,1/14/1916,1/1/1935,925,494-495,"D8FX, D8G4","Colored People, Polish, Italian",9,"70 BLISS RD, LONGMEADOW, MA",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tvx29Mdk_PGzvFZbrFXyTw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=16.94443&pitch=0&thumbfov=100
63,1/14/1916,1/1/1935,925,495-496,"D8G4, DIC5","Colored People, Polish, Italian",10,"76 BLISS RD, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///0015/100_0031_15588.JPG
64,4/6/1916,1/1/1935,929,195-196,"D8IU, DI8T","Colored People, Polish, Italian",46,"471 LONGMEADOW ST, LONGMEADOW, MA ",https://images.vgsi.com/photos2/LongmeadowMAPhotos///0015/100_0017_15796.JPG
65,4/12/1916,1/1/1935,929,226,"D8KT, DI9Z","Colored People, Polish, Italian",11,"84 BLISS RD, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/00/14/85.jpg
66,6/6/1916,1/1/1935,945,105-106,"D8S9, DJBB","Colored People, Polish, Italian ",55,"64 BELLECLAIRE AV, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/01/00/06.jpg
67,7/17/1916,1/1/1935,945,141,D8XN,"Colored People, Polish, Italian ",12,"90 BLISS RD, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/00/71/65.jpg
68,8/5/1916,1/1/1935,945,238,D80Z,"Colored People, Polish, Italian ",13,"106 BLISS RD, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/00/14/89.jpg
69,10/9/1916,1/1/1935,945,535-536,"D0G3, D0HN","Colored People, Polish, Italian",14,"112 BLISS RD, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/00/14/90.jpg
70,10/9/1916,1/1/1935,945,536-537,"D0HN, DG7H","Colored People, Polish, Italian",15,"120 BLISS RD, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/01/03/78.jpg
71,12/28/1916,1/1/1935,965,309-310,"D0I6, DHOM","Colored People, Polish, Italian",85,"441 LONGMEADOW ST, LONGMEADOW, MA ",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/00/79/93.jpg
72,1/9/1917,1/1/1935,965,360-361,"D0JJ, DHQH","Colored People, Polish, Italian",2,"24 BLISS RD, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///0015/100_0028_15585.JPG
73,1/9/1917,1/1/1935,965,360-361,"D0JJ, DHQH","Colored People, Polish, Italian",47,"467 LONGMEADOW ST, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/00/99/20.jpg
74,4/6/1917,1/1/1935,971,194-195,"DAB7, DACI","Colored People, Polish, Italian ",19,"142 BLISS RD, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/00/94/23.jpg
75,4/10/1917,1/1/1935,971,213-214,"DADG, DADL","Colored People, Polish, Italian ",57,"78 BELLECLAIRE AV, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/01/20/08.jpg
76,5/2/1917,1/1/1935,971,377,D850,"Colored People, Polish, Italian ",17,"126 BLISS RD, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/00/79/56.jpg
77,7/11/1917,1/1/1935,985,163,D86C,"Colored People, Polish, Italian ",20,"148 BLISS RD, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/00/15/91.jpg
78,7/11/1917,1/1/1935,985,164,D86I,"Colored People, Polish, Italian ",21,"152 BLISS RD, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///0012/DSC03970_12087.JPG
79,8/28/1917,1/1/1935,985,348-349,"D86W, D864","Colored People, Polish, Italian ",36,"81 BELLECLAIRE AV, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/01/14/50.jpg
80,9/20/1917,1/1/1935,985,432-433,"D9C9, D9DP","Colored People, Polish, Italian ",54,"56 BELLECLAIRE AV, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/01/11/05.jpg
81,11/9/1920,1/1/1935,1098,83,DJCG,"Colored People, Polish, Italian",23,"168 BLISS ROAD, LONGMEADOW, MA",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=57kW2WUQUH3LlRXNnZxJsw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=2.8997269&pitch=0&thumbfov=100
82,11/9/1920,1/1/1935,1098,83,DJCG,"Colored People, Polish, Italian",122,"194 BLISS ROAD, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///0015/100_0038_15596.JPG
83,11/9/1920,1/1/1935,1098,83,DJCG,"Colored People, Polish, Italian",123,"194 BLISS ROAD, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///0015/100_0038_15596.JPG
84,11/9/1920,1/1/1935,1098,83,DJCG,"Colored People, Polish, Italian",134,"184 BLISS RD, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/00/15/97.jpg
85,11/9/1920,1/1/1935,1098,83,DJCG,"Colored People, Polish, Italian",135,"178 BLISS RD, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///0015/100_0037_15595.JPG
86,10/3/1923,12/24/1925,1192,426,D0E4,"Colored People, Polish, Italian",134,"184 BLISS RD, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/00/15/97.jpg
87,10/3/1923,12/24/1925,1192,426,D0E4,"Colored People, Polish, Italian",135,"178 BLISS RD, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///0015/100_0037_15595.JPG
88,10/18/1923,12/24/1925,1194,313,D0FT,"Colored People, Polish, Italian",122,"194 BLISS ROAD, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///0015/100_0038_15596.JPG
89,10/18/1923,12/24/1925,1194,313,D0FT,"Colored People, Polish, Italian",123,"194 BLISS ROAD, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///0015/100_0038_15596.JPG
90,8/1/1924,12/24/1925,1224,512-513,"D0GQ, DG42","Colored People, Polish, Italian",23,"168 BLISS ROAD, LONGMEADOW, MA",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=57kW2WUQUH3LlRXNnZxJsw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=2.8997269&pitch=0&thumbfov=100
