id,Start Date,End Date,Book,Page,Deed TIFF,Discriminated Group,Lot #,Address,House Image
0,1/30/1913,1/1/1935,856,200,D8T2,"Colored People, Polish, Italian",1,"10 BLISS RD, LONGMEADOW, MA",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=bEzHnWnmDVBUIPd-GWlq5A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=176.81126&pitch=0&thumbfov=100
1,1/31/1913,1/1/1935,856,217,DJH0,"Colored People, Polish, Italian",87,"8 WESTMORELAND AVE, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/00/22/02.jpg
2,9/13/1913,1/1/1935,878,262-263,"DJIL, DJI8","Colored People, Polish, Italian",5,"44 BLISS RD, LONGMEADOW, MA ",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/00/71/71.jpg
3,6/27/1914,1/1/1935,894,129-130,"DABB, DAC5","Colored People, Polish, Italian",44,"23 BELLECLAIRE AV, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///0014/DSC09675_14926.JPG
4,6/27/1914,1/1/1935,894,130-131,"DAC5, DAFI","Colored People, Polish, Italian",3,"28 BLISS RD, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///0015/100_0029_15586.JPG
5,7/31/1914,1/1/1935,894,302,"D0JS, DHTD","Colored People, Polish, Italian",90,"32 WESTMORELAND AV, LONGMEADOW, MA ",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/01/00/09.jpg
6,9/25/1914,1/1/1935,894,481-482,"D0QW, DHYT","Colored People, Polish, Italian",6,"50 BLISS RD, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/00/14/54.jpg
7,2/13/1915,1/1/1935,911,360-361,"D0RG, DH33","Colored People, Polish, Italian",4,"34 BLISS RD, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/00/14/50.jpg
8,5/20/1915,1/1/1935,915,133,D0UO,"Colored People, Polish, Italian ",50,"26 BELLECLAIRE AV, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/00/21/63.jpg
9,5/25/1915,1/1/1935,915,155,D0U2,"Colored People, Polish, Italian ",89,"26 WESTMORELAND AV, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/00/22/05.jpg
10,6/11/1915,1/1/1935,915,216-218,"D0VJ, D9CE, D9CH","Colored People, Polish, Italian ",48,"447 LONGMEADOW ST, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/00/01/55.jpg
11,6/11/1915,1/1/1935,915,216-218,"D0VJ, D9CE, D9CH","Colored People, Polish, Italian ",35,"87 BELLECLAIRE AV, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/01/15/57.jpg
12,6/11/1915,1/1/1935,915,216-218,"D0VJ, D9CE, D9CH","Colored People, Polish, Italian ",37,"71 BELLECLAIRE AV, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/00/21/90.jpg
13,6/11/1915,1/1/1935,915,216-218,"D0VJ, D9CE, D9CH","Colored People, Polish, Italian ",39,"57 BELLECLAIRE AV, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/00/21/92.jpg
14,6/11/1915,1/1/1935,915,216-218,"D0VJ, D9CE, D9CH","Colored People, Polish, Italian ",41,"45 BELLECLAIRE AV, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/00/21/94.jpg
15,6/11/1915,1/1/1935,915,216-218,"D0VJ, D9CE, D9CH","Colored People, Polish, Italian ",43,"29 BELLECLAIRE AV, LONGMEADOW, MA ",https://images.vgsi.com/photos2/LongmeadowMAPhotos///0015/100_0012_15567.JPG
16,6/11/1915,1/1/1935,915,216-218,"D0VJ, D9CE, D9CH","Colored People, Polish, Italian ",52,"36 BELLECLAIRE AV, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/00/98/06.jpg
17,6/11/1915,1/1/1935,915,216-218,"D0VJ, D9CE, D9CH","Colored People, Polish, Italian ",54,"56 BELLECLAIRE AV, LONGMEADOW, MA ",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/01/11/05.jpg
18,6/11/1915,1/1/1935,915,216-218,"D0VJ, D9CE, D9CH","Colored People, Polish, Italian ",56,"70 BELLECLAIRE AV, LONGMEADOW, MA ",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/00/92/30.jpg
19,6/11/1915,1/1/1935,915,216-218,"D0VJ, D9CE, D9CH","Colored People, Polish, Italian ",58,"82 BELLECLAIRE AV, LONGMEADOW, MA ",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/01/05/33.jpg
20,6/11/1915,1/1/1935,915,216-218,"D0VJ, D9CE, D9CH","Colored People, Polish, Italian ",18,"136 BLISS RD, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/00/15/89.jpg
21,6/11/1915,1/1/1935,915,216-218,"D0VJ, D9CE, D9CH","Colored People, Polish, Italian ",24,"155 BELLECLAIRE AV, LONGMEADOW, MA ",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/01/22/11.jpg
22,6/11/1915,1/1/1935,915,216-218,"D0VJ, D9CE, D9CH","Colored People, Polish, Italian ",25,"145 BELLECLAIRE AV, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/00/21/80.jpg
23,6/11/1915,1/1/1935,915,216-218,"D0VJ, D9CE, D9CH","Colored People, Polish, Italian ",26,"145 BELLECLAIRE AV, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/00/21/80.jpg
24,6/11/1915,1/1/1935,915,216-218,"D0VJ, D9CE, D9CH","Colored People, Polish, Italian ",27,"139 BELLECLAIRE AV, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/01/22/10.jpg
25,6/11/1915,1/1/1935,915,216-218,"D0VJ, D9CE, D9CH","Colored People, Polish, Italian ",28,"133 BELLECLAIRE AV, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/01/11/02.jpg
26,6/11/1915,1/1/1935,915,216-218,"D0VJ, D9CE, D9CH","Colored People, Polish, Italian ",29,"129 BELLECLAIRE AV, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/01/11/04.jpg
27,6/11/1915,1/1/1935,915,216-218,"D0VJ, D9CE, D9CH","Colored People, Polish, Italian ",30,"119 BELLECLAIRE AV, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/00/21/84.jpg
28,6/11/1915,1/1/1935,915,216-218,"D0VJ, D9CE, D9CH","Colored People, Polish, Italian ",32,"115 BELLECLAIRE AV, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/00/95/21.jpg
29,6/11/1915,1/1/1935,915,216-218,"D0VJ, D9CE, D9CH","Colored People, Polish, Italian ",33,"107 BELLECLAIRE AV, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/00/69/64.jpg
30,6/11/1915,1/1/1935,915,216-218,"D0VJ, D9CE, D9CH","Colored People, Polish, Italian ",34,"101 BELLECLAIRE AV, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/00/21/87.jpg
31,6/11/1915,1/1/1935,915,216-218,"D0VJ, D9CE, D9CH","Colored People, Polish, Italian ",59,"102 BELLECLAIRE AV, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/00/82/75.jpg
32,6/11/1915,1/1/1935,915,216-218,"D0VJ, D9CE, D9CH","Colored People, Polish, Italian ",60,"102 BELLECLAIRE AV, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/00/82/75.jpg
33,6/11/1915,1/1/1935,915,216-218,"D0VJ, D9CE, D9CH","Colored People, Polish, Italian ",61,"116 BELLECLAIRE AV, LONGMEADOW, MA ",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/00/21/73.jpg
34,6/11/1915,1/1/1935,915,216-218,"D0VJ, D9CE, D9CH","Colored People, Polish, Italian ",62,"126 BELLECLAIRE AVE, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/00/77/64.jpg
35,6/11/1915,1/1/1935,915,216-218,"D0VJ, D9CE, D9CH","Colored People, Polish, Italian ",63,"128 BELLECLAIRE AV, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///0015/100_0014_15570.JPG
36,6/11/1915,1/1/1935,915,216-218,"D0VJ, D9CE, D9CH","Colored People, Polish, Italian ",64,"134 BELLECLAIRE AV, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/00/77/66.jpg
37,6/11/1915,1/1/1935,915,216-218,"D0VJ, D9CE, D9CH","Colored People, Polish, Italian ",65,"142 BELLECLAIRE AV, LONGMEADOW, MA ",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/01/05/32.jpg
38,6/11/1915,1/1/1935,915,216-218,"D0VJ, D9CE, D9CH","Colored People, Polish, Italian ",66,"152 BELLECLAIRE AV, LONGMEADOW, MA 01106",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/00/66/47.jpg
39,6/11/1915,1/1/1935,915,216-218,"D0VJ, D9CE, D9CH","Colored People, Polish, Italian ",115,"187 WESTMORELAND AV, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/00/22/56.jpg
40,6/11/1915,1/1/1935,915,216-218,"D0VJ, D9CE, D9CH","Colored People, Polish, Italian ",116,"19 LORENZ ST, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///0014/DSC09677_14928.JPG
41,6/11/1915,1/1/1935,915,216-218,"D0VJ, D9CE, D9CH","Colored People, Polish, Italian ",117,"19 LORENZ ST, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///0014/DSC09677_14928.JPG
42,6/11/1915,1/1/1935,915,216-218,"D0VJ, D9CE, D9CH","Colored People, Polish, Italian ",118,"29 LORENZ ST, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/00/22/86.jpg
43,6/11/1915,1/1/1935,915,216-218,"D0VJ, D9CE, D9CH","Colored People, Polish, Italian ",119,"29 LORENZ ST, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/00/22/86.jpg
44,6/11/1915,1/1/1935,915,216-218,"D0VJ, D9CE, D9CH","Colored People, Polish, Italian ",120,"218 BLISS RD, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/00/76/01.jpg
45,6/11/1915,1/1/1935,915,216-218,"D0VJ, D9CE, D9CH","Colored People, Polish, Italian ",121,"210 BLISS RD, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///0015/100_0040_15600.JPG
46,6/11/1915,1/1/1935,915,216-218,"D0VJ, D9CE, D9CH","Colored People, Polish, Italian ",124,"30 LORENZ ST, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///0012/DSC07924_12405.JPG
47,6/11/1915,1/1/1935,915,216-218,"D0VJ, D9CE, D9CH","Colored People, Polish, Italian ",125,"20 LORENZ ST, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/01/10/03.jpg
48,6/11/1915,1/1/1935,915,216-218,"D0VJ, D9CE, D9CH","Colored People, Polish, Italian ",126,"20 LORENZ ST, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/01/10/03.jpg
49,6/11/1915,1/1/1935,915,216-218,"D0VJ, D9CE, D9CH","Colored People, Polish, Italian ",127,"171 WESTMORELAND AV, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/01/03/13.jpg
50,6/11/1915,1/1/1935,915,216-218,"D0VJ, D9CE, D9CH","Colored People, Polish, Italian ",130,"19 ROSEMORE ST, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/00/85/42.jpg
51,6/11/1915,1/1/1935,915,216-218,"D0VJ, D9CE, D9CH","Colored People, Polish, Italian ",131,"27 ROSEMORE ST, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/01/13/21.jpg
52,6/11/1915,1/1/1935,915,216-218,"D0VJ, D9CE, D9CH","Colored People, Polish, Italian ",132,"33 ROSEMORE ST, LONGMEADOW, MA ",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/00/68/25.jpg
53,6/11/1915,1/1/1935,915,216-218,"D0VJ, D9CE, D9CH","Colored People, Polish, Italian ",133,"37 ROSEMORE ST, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///0015/100_0113_15755.JPG
54,6/24/1915,1/1/1935,915,278,D0WV,"Colored People, Polish, Italian ",51,"32 BELLECLAIRE AV, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/00/21/64.jpg
55,6/25/1915,1/1/1935,915,280,D9E9,"Colored People, Polish, Italian ",42,"41 BELLECLAIRE AV, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/00/21/96.jpg
56,7/26/1915,1/1/1935,915,400,D9L2,"Colored People, Polish, Italian ",7,"56 BLISS RD, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/01/07/42.jpg
57,8/12/1915,1/1/1935,915,483,D94N,"Colored People, Polish, Italian ",53,"50 BELLECLAIRE AV, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///00/00/76/30.jpg
58,10/23/1915,1/1/1935,925,130-131,"D95A, D95E","Colored People, Polish, Italian ",40,"51 BELLECLAIRE AV, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///0015/100_0013_15569.JPG
59,10/26/1915,1/1/1935,925,136-137,"D953, D98W","Colored People, Polish, Italian ",8,"62 BLISS RD, LONGMEADOW, MA",https://images.vgsi.com/photos2/LongmeadowMAPhotos///0015/100_0030_15587.JPG
